Time,Open,High,Low,Close,Volume
2019-12-26T11:00:00.000000000Z,1.10849,1.10872,1.10824,1.10855,116
2019-12-26T12:00:00.000000000Z,1.10858,1.10928,1.10858,1.10927,152
2019-12-26T13:00:00.000000000Z,1.10924,1.11000,1.10907,1.10983,296
2019-12-26T14:00:00.000000000Z,1.10981,1.11000,1.10902,1.10907,214
2019-12-26T15:00:00.000000000Z,1.10909,1.11000,1.10900,1.10992,255
2019-12-26T16:00:00.000000000Z,1.10990,1.11022,1.10956,1.11020,180
2019-12-26T17:00:00.000000000Z,1.11022,1.11049,1.11022,1.11027,99
2019-12-26T18:00:00.000000000Z,1.11024,1.11090,1.11022,1.11090,112
2019-12-26T19:00:00.000000000Z,1.11088,1.11090,1.11030,1.11030,191
2019-12-26T20:00:00.000000000Z,1.11028,1.11048,1.10998,1.11029,157
2019-12-26T21:00:00.000000000Z,1.11032,1.11034,1.10956,1.10966,194
2019-12-26T22:00:00.000000000Z,1.10986,1.10986,1.10964,1.10964,35
2019-12-26T23:00:00.000000000Z,1.10967,1.11013,1.10967,1.11013,116
2019-12-27T00:00:00.000000000Z,1.11016,1.11050,1.10988,1.11012,284
2019-12-27T01:00:00.000000000Z,1.11010,1.11099,1.10998,1.11093,328
2019-12-27T02:00:00.000000000Z,1.11090,1.11176,1.11084,1.11166,346
2019-12-27T03:00:00.000000000Z,1.11168,1.11200,1.11164,1.11189,205
2019-12-27T04:00:00.000000000Z,1.11186,1.11213,1.11168,1.11204,146
2019-12-27T05:00:00.000000000Z,1.11206,1.11222,1.11198,1.11209,135
2019-12-27T06:00:00.000000000Z,1.11209,1.11216,1.11176,1.11200,193
2019-12-27T07:00:00.000000000Z,1.11198,1.11298,1.11191,1.11294,803
2019-12-27T08:00:00.000000000Z,1.11296,1.11418,1.11296,1.11328,1160
2019-12-27T09:00:00.000000000Z,1.11330,1.11387,1.11315,1.11386,672
2019-12-27T10:00:00.000000000Z,1.11384,1.11488,1.11366,1.11488,763
2019-12-27T11:00:00.000000000Z,1.11490,1.11498,1.11438,1.11474,667
2019-12-27T12:00:00.000000000Z,1.11477,1.11553,1.11456,1.11528,763
2019-12-27T13:00:00.000000000Z,1.11526,1.11592,1.11512,1.11534,658
2019-12-27T14:00:00.000000000Z,1.11537,1.11636,1.11520,1.11581,819
2019-12-27T15:00:00.000000000Z,1.11578,1.11794,1.11575,1.11630,1259
2019-12-27T16:00:00.000000000Z,1.11632,1.11765,1.11587,1.11734,989
2019-12-27T17:00:00.000000000Z,1.11732,1.11843,1.11720,1.11838,446
2019-12-27T18:00:00.000000000Z,1.11836,1.11844,1.11775,1.11840,383
2019-12-27T19:00:00.000000000Z,1.11837,1.11883,1.11792,1.11872,406
2019-12-27T20:00:00.000000000Z,1.11874,1.11874,1.11753,1.11762,332
2019-12-27T21:00:00.000000000Z,1.11760,1.11780,1.11710,1.11758,249
2019-12-29T22:00:00.000000000Z,1.11773,1.11805,1.11718,1.11799,308
2019-12-29T23:00:00.000000000Z,1.11806,1.11838,1.11776,1.11813,306
2019-12-30T00:00:00.000000000Z,1.11811,1.11880,1.11806,1.11878,244
2019-12-30T01:00:00.000000000Z,1.11880,1.11954,1.11873,1.11948,202
2019-12-30T02:00:00.000000000Z,1.11944,1.12048,1.11918,1.12044,265
2019-12-30T03:00:00.000000000Z,1.12042,1.12108,1.11982,1.11992,315
2019-12-30T04:00:00.000000000Z,1.11990,1.12013,1.11960,1.11968,214
2019-12-30T05:00:00.000000000Z,1.11966,1.12052,1.11954,1.12028,237
2019-12-30T06:00:00.000000000Z,1.12028,1.12030,1.11922,1.11958,356
2019-12-30T07:00:00.000000000Z,1.11956,1.12058,1.11946,1.11962,898
2019-12-30T08:00:00.000000000Z,1.11960,1.12048,1.11937,1.11970,949
2019-12-30T09:00:00.000000000Z,1.11968,1.11999,1.11901,1.11994,667
2019-12-30T10:00:00.000000000Z,1.11992,1.12024,1.11896,1.11938,722
2019-12-30T11:00:00.000000000Z,1.11936,1.12024,1.11906,1.11916,643
2019-12-30T12:00:00.000000000Z,1.11914,1.11944,1.11861,1.11898,531
2019-12-30T13:00:00.000000000Z,1.11895,1.11952,1.11818,1.11950,875
2019-12-30T14:00:00.000000000Z,1.11947,1.12079,1.11886,1.12058,1434
2019-12-30T15:00:00.000000000Z,1.12061,1.12070,1.11971,1.12010,1154
2019-12-30T16:00:00.000000000Z,1.12012,1.12208,1.12010,1.12162,1082
2019-12-30T17:00:00.000000000Z,1.12159,1.12168,1.12090,1.12107,444
2019-12-30T18:00:00.000000000Z,1.12109,1.12124,1.12022,1.12030,352
2019-12-30T19:00:00.000000000Z,1.12032,1.12046,1.12000,1.12022,265
2019-12-30T20:00:00.000000000Z,1.12024,1.12036,1.11965,1.11985,301
2019-12-30T21:00:00.000000000Z,1.11983,1.12032,1.11980,1.11992,148
2019-12-30T22:00:00.000000000Z,1.12012,1.12047,1.11980,1.12012,232
2019-12-30T23:00:00.000000000Z,1.12016,1.12034,1.12013,1.12013,145
2019-12-31T00:00:00.000000000Z,1.12011,1.12052,1.12011,1.12035,134
2019-12-31T01:00:00.000000000Z,1.12037,1.12138,1.12037,1.12126,211
2019-12-31T02:00:00.000000000Z,1.12128,1.12148,1.12099,1.12099,185
2019-12-31T03:00:00.000000000Z,1.12096,1.12096,1.11990,1.12036,228
2019-12-31T04:00:00.000000000Z,1.12034,1.12054,1.12028,1.12034,80
2019-12-31T05:00:00.000000000Z,1.12032,1.12070,1.12021,1.12070,105
2019-12-31T06:00:00.000000000Z,1.12070,1.12070,1.12044,1.12060,135
2019-12-31T07:00:00.000000000Z,1.12062,1.12082,1.12033,1.12056,418
2019-12-31T08:00:00.000000000Z,1.12059,1.12134,1.12031,1.12124,709
2019-12-31T09:00:00.000000000Z,1.12121,1.12176,1.12074,1.12136,589
2019-12-31T10:00:00.000000000Z,1.12138,1.12180,1.12086,1.12174,630
2019-12-31T11:00:00.000000000Z,1.12172,1.12283,1.12162,1.12278,938
2019-12-31T12:00:00.000000000Z,1.12276,1.12330,1.12272,1.12308,567
2019-12-31T13:00:00.000000000Z,1.12310,1.12390,1.12291,1.12380,777
2019-12-31T14:00:00.000000000Z,1.12382,1.12392,1.12180,1.12205,1080
2019-12-31T15:00:00.000000000Z,1.12200,1.12328,1.12173,1.12238,2053
2019-12-31T16:00:00.000000000Z,1.12236,1.12314,1.12164,1.12264,1482
2019-12-31T17:00:00.000000000Z,1.12262,1.12294,1.12230,1.12290,533
2019-12-31T18:00:00.000000000Z,1.12288,1.12288,1.12226,1.12234,231
2019-12-31T19:00:00.000000000Z,1.12231,1.12240,1.12170,1.12172,197
2019-12-31T20:00:00.000000000Z,1.12170,1.12185,1.12150,1.12177,208
2019-12-31T21:00:00.000000000Z,1.12174,1.12174,1.12102,1.12120,137
2020-01-01T22:00:00.000000000Z,1.12124,1.12162,1.12124,1.12152,74
2020-01-01T23:00:00.000000000Z,1.12149,1.12224,1.12149,1.12189,266
2020-01-02T00:00:00.000000000Z,1.12187,1.12192,1.12158,1.12184,114
2020-01-02T01:00:00.000000000Z,1.12186,1.12246,1.12182,1.12209,219
2020-01-02T02:00:00.000000000Z,1.12206,1.12247,1.12185,1.12224,137
2020-01-02T03:00:00.000000000Z,1.12222,1.12232,1.12124,1.12132,175
2020-01-02T04:00:00.000000000Z,1.12135,1.12142,1.12010,1.12012,195
2020-01-02T05:00:00.000000000Z,1.12014,1.12044,1.12011,1.12044,193
2020-01-02T06:00:00.000000000Z,1.12044,1.12076,1.12039,1.12076,264
2020-01-02T07:00:00.000000000Z,1.12079,1.12102,1.12044,1.12098,687
2020-01-02T08:00:00.000000000Z,1.12100,1.12138,1.12051,1.12122,799
